ID Cliente;ID Loja;Nome;PrimeiraCompra;CartaoFidelidade;Aniversario;Genero;AnoAniversario
332;3;"Samantha Riddle";2017-03-09 00:00:00,000;"114-078-3425";1954-04-27 00:00:00,000;"F";1954
333;3;"Chava Guzman";2017-03-11 00:00:00,000;"675-302-8631";1954-06-12 00:00:00,000;"F";1954
334;3;"Nita Golden";2017-03-13 00:00:00,000;"719-055-8234";1954-07-29 00:00:00,000;"F";1954
335;3;"Zelenia Powell";2017-03-15 00:00:00,000;"197-930-2848";1954-09-14 00:00:00,000;"F";1954
336;3;"Aileen Zamora";2017-03-17 00:00:00,000;"182-923-6770";1954-10-30 00:00:00,000;"F";1954
337;3;"Dana Curtis";2017-03-19 00:00:00,000;"336-130-4252";1954-12-16 00:00:00,000;"F";1954
338;3;"Leslie Acevedo";2017-03-21 00:00:00,000;"396-952-2432";1955-01-31 00:00:00,000;"F";1955
339;3;"Adena Bradford";2017-03-23 00:00:00,000;"564-240-9076";1955-03-19 00:00:00,000;"F";1955
340;3;"Shannon Mckenzie";2017-03-25 00:00:00,000;"282-732-1053";1955-05-05 00:00:00,000;"F";1955
341;3;"Katell Dunlap";2017-03-27 00:00:00,000;"111-197-6166";1955-06-20 00:00:00,000;"F";1955
342;3;"Blossom Alford";2017-03-29 00:00:00,000;"440-720-9943";1955-08-06 00:00:00,000;"F";1955
343;3;"Bo Vincent";2017-03-31 00:00:00,000;"155-843-8482";1955-09-21 00:00:00,000;"F";1955
344;3;"Avye Koch";2017-04-02 00:00:00,000;"977-525-6648";1955-11-07 00:00:00,000;"F";1955
345;3;"Barbara Knowles";2017-04-05 00:00:00,000;"524-174-8629";1955-12-24 00:00:00,000;"F";1955
346;3;"Yuri Nixon";2017-04-07 00:00:00,000;"070-721-0736";1956-02-08 00:00:00,000;"F";1956
347;3;"Abra Dotson";2017-04-09 00:00:00,000;"659-894-5363";1956-03-26 00:00:00,000;"F";1956
348;3;"Whoopi Barrera";2017-04-11 00:00:00,000;"441-523-9048";1956-05-11 00:00:00,000;"F";1956
349;3;"Kathleen Langley";2017-04-13 00:00:00,000;"659-861-9609";1956-06-27 00:00:00,000;"F";1956
350;3;"Lucy Kennedy";2017-04-15 00:00:00,000;"431-927-6847";1956-08-13 00:00:00,000;"F";1956
351;3;"Hope Fernandez";2017-04-17 00:00:00,000;"343-610-0398";1956-09-28 00:00:00,000;"F";1956
352;3;"Ila Goodman";2017-04-19 00:00:00,000;"739-121-3784";1956-11-14 00:00:00,000;"F";1956
353;3;"Penelope Ochoa";2017-04-21 00:00:00,000;"330-949-9264";1956-12-30 00:00:00,000;"F";1956
354;3;"Kimberley Larson";2017-04-23 00:00:00,000;"182-309-2405";1957-02-15 00:00:00,000;"F";1957
355;3;"Rhonda Clayton";2017-04-25 00:00:00,000;"547-516-4725";1957-04-03 00:00:00,000;"F";1957
356;3;"Kalia Drake";2017-04-27 00:00:00,000;"567-912-1942";1957-05-19 00:00:00,000;"F";1957
357;3;"Sonia Vaughn";2017-04-29 00:00:00,000;"804-091-2161";1957-07-05 00:00:00,000;"F";1957
358;3;"Kyra Warren";2017-05-01 00:00:00,000;"703-696-6032";1957-08-20 00:00:00,000;"F";1957
359;3;"Nevada Langley";2017-05-03 00:00:00,000;"291-731-7772";1957-10-06 00:00:00,000;"F";1957
360;3;"Giselle Levine";2017-05-06 00:00:00,000;"092-528-5807";1957-11-22 00:00:00,000;"F";1957
361;3;"Ifeoma Butler";2017-05-08 00:00:00,000;"854-385-1287";1958-01-07 00:00:00,000;"F";1958
362;3;"Sarah Smith";2017-05-10 00:00:00,000;"430-390-1811";1958-02-23 00:00:00,000;"F";1958
363;3;"Rowan Woods";2017-05-12 00:00:00,000;"769-603-7732";1958-04-10 00:00:00,000;"F";1958
364;3;"Xantha Sampson";2017-05-14 00:00:00,000;"821-105-7072";1958-05-27 00:00:00,000;"F";1958
365;3;"Mary Swanson";2017-05-16 00:00:00,000;"783-305-5442";1958-07-13 00:00:00,000;"F";1958
366;3;"Eve Delacruz";2017-05-18 00:00:00,000;"883-584-0321";1958-08-28 00:00:00,000;"F";1958
367;3;"Noelle Salazar";2017-05-20 00:00:00,000;"531-429-1760";1958-10-14 00:00:00,000;"F";1958
368;3;"Kyra Hampton";2017-05-22 00:00:00,000;"907-531-3069";1958-11-29 00:00:00,000;"F";1958
369;3;"Astra Duffy";2017-05-24 00:00:00,000;"534-616-4329";1959-01-15 00:00:00,000;"F";1959
370;3;"Kameko Knox";2017-05-26 00:00:00,000;"769-640-0042";1959-03-03 00:00:00,000;"F";1959
371;3;"Nevada Ewing";2017-05-28 00:00:00,000;"674-715-8042";1959-04-18 00:00:00,000;"F";1959
372;3;"Leigh William";2017-05-30 00:00:00,000;"394-161-1669";1959-06-04 00:00:00,000;"F";1959
373;3;"Eugenia Oconnor";2017-06-01 00:00:00,000;"725-904-0851";1959-07-20 00:00:00,000;"F";1959
374;3;"Audrey Farley";2017-06-03 00:00:00,000;"462-004-9564";1959-09-05 00:00:00,000;"F";1959
375;3;"Zelenia Hoffman";2017-06-06 00:00:00,000;"808-869-9639";1959-10-22 00:00:00,000;"F";1959
376;3;"Yael Rich";2017-06-08 00:00:00,000;"762-633-0333";1959-12-07 00:00:00,000;"F";1959
377;3;"Cherokee West";2017-06-10 00:00:00,000;"592-412-5994";1960-01-23 00:00:00,000;"F";1960
378;3;"Zia Gilbert";2017-06-12 00:00:00,000;"015-632-6747";1960-03-09 00:00:00,000;"F";1960
379;3;"Megan Adams";2017-06-14 00:00:00,000;"188-409-0349";1960-04-25 00:00:00,000;"F";1960
380;3;"Deirdre Peterson";2017-06-16 00:00:00,000;"837-424-6525";1960-06-11 00:00:00,000;"F";1960
381;3;"Charity Harvey";2017-06-18 00:00:00,000;"407-580-6600";1960-07-27 00:00:00,000;"F";1960
382;3;"Ciara Rosales";2017-06-20 00:00:00,000;"736-765-8412";1960-09-12 00:00:00,000;"F";1960
383;3;"Ariana Howell";2017-06-22 00:00:00,000;"183-212-8969";1960-10-28 00:00:00,000;"F";1960
384;3;"Kylan Hayes";2017-06-24 00:00:00,000;"998-034-0664";1960-12-14 00:00:00,000;"F";1960
385;3;"Germaine Mitchell";2017-06-26 00:00:00,000;"399-990-7145";1961-01-30 00:00:00,000;"F";1961
386;3;"Kimberley Vance";2017-06-28 00:00:00,000;"652-834-7981";1961-03-17 00:00:00,000;"F";1961
387;3;"Gail Clements";2017-06-30 00:00:00,000;"404-679-2554";1961-05-03 00:00:00,000;"F";1961
388;3;"Denise Armstrong";2017-07-02 00:00:00,000;"805-724-6813";1961-06-18 00:00:00,000;"F";1961
389;3;"Courtney Holden";2017-07-05 00:00:00,000;"789-571-0596";1961-08-04 00:00:00,000;"F";1961
390;3;"Tanisha Francis";2017-07-07 00:00:00,000;"792-255-1821";1961-09-20 00:00:00,000;"F";1961
391;3;"Anjolie Vargas";2017-07-09 00:00:00,000;"338-278-3067";1961-11-05 00:00:00,000;"F";1961
392;3;"Serena Kane";2017-07-11 00:00:00,000;"682-247-2781";1961-12-22 00:00:00,000;"F";1961
393;3;"Farrah Hudson";2017-07-13 00:00:00,000;"545-467-3850";1962-02-06 00:00:00,000;"F";1962
394;3;"Imani Juarez";2017-07-15 00:00:00,000;"983-776-8983";1962-03-25 00:00:00,000;"F";1962
395;3;"Erin Nunez";2017-07-17 00:00:00,000;"592-703-3354";1962-05-11 00:00:00,000;"F";1962
396;3;"Dai Bennett";2017-07-19 00:00:00,000;"499-614-8312";1962-06-26 00:00:00,000;"F";1962
397;3;"Buffy Drake";2017-07-21 00:00:00,000;"103-192-4069";1962-08-12 00:00:00,000;"F";1962
398;3;"Rhonda Hendrix";2017-07-23 00:00:00,000;"832-989-7707";1962-09-27 00:00:00,000;"F";1962
399;3;"Haviva Blanchard";2017-07-25 00:00:00,000;"880-584-9921";1962-11-13 00:00:00,000;"F";1962
400;3;"Olympia Burns";2017-07-27 00:00:00,000;"529-505-2729";1962-12-30 00:00:00,000;"F";1962
401;3;"Rhea Wall";2017-07-29 00:00:00,000;"712-350-1572";1963-02-14 00:00:00,000;"F";1963
402;3;"Sylvia Atkins";2017-07-31 00:00:00,000;"096-351-5369";1963-04-02 00:00:00,000;"F";1963
403;3;"Amela Watts";2017-08-02 00:00:00,000;"682-557-1438";1963-05-18 00:00:00,000;"F";1963
404;3;"Maris Williams";2017-08-05 00:00:00,000;"280-484-7631";1963-07-04 00:00:00,000;"F";1963
405;3;"Irma Fulton";2017-08-07 00:00:00,000;"598-663-3302";1963-08-20 00:00:00,000;"F";1963
406;3;"Gemma Rodriguez";2017-08-09 00:00:00,000;"210-322-9268";1963-10-05 00:00:00,000;"F";1963
407;3;"Xandra Kim";2017-08-11 00:00:00,000;"344-473-6312";1963-11-21 00:00:00,000;"F";1963
408;3;"Angela Drake";2017-08-13 00:00:00,000;"328-277-7321";1964-01-06 00:00:00,000;"F";1964
409;3;"Janna Delaney";2017-08-15 00:00:00,000;"048-747-7825";1964-02-22 00:00:00,000;"F";1964
410;3;"Vielka Hull";2017-08-17 00:00:00,000;"602-997-0035";1964-04-09 00:00:00,000;"F";1964
411;3;"Myra Donovan";2017-08-19 00:00:00,000;"049-029-2163";1964-05-25 00:00:00,000;"F";1964
412;3;"Karyn Bonner";2017-08-21 00:00:00,000;"729-646-1949";1964-07-11 00:00:00,000;"F";1964
413;3;"Martena Gay";2017-08-23 00:00:00,000;"609-427-2295";1964-08-26 00:00:00,000;"F";1964
414;3;"McKenzie Burnett";2017-08-25 00:00:00,000;"079-853-7022";1964-10-12 00:00:00,000;"F";1964
415;3;"Nina Adkins";2017-08-27 00:00:00,000;"768-960-1547";1964-11-28 00:00:00,000;"F";1964
416;3;"Kiara Clark";2017-08-29 00:00:00,000;"802-145-4119";1965-01-13 00:00:00,000;"F";1965
417;3;"Hayley Spears";2017-08-31 00:00:00,000;"806-379-1972";1965-03-01 00:00:00,000;"F";1965
418;3;"Keiko Walls";2017-09-02 00:00:00,000;"084-428-4672";1965-04-16 00:00:00,000;"F";1965
419;3;"Halla Cole";2017-09-05 00:00:00,000;"430-854-4973";1965-06-02 00:00:00,000;"F";1965
420;3;"Oprah Witt";2017-09-07 00:00:00,000;"492-079-1187";1965-07-19 00:00:00,000;"F";1965
421;3;"Nichole Medina";2017-09-09 00:00:00,000;"754-028-1277";1965-09-03 00:00:00,000;"F";1965
422;3;"Samantha Berry";2017-09-11 00:00:00,000;"016-215-0941";1965-10-20 00:00:00,000;"F";1965
423;3;"Kylie Hooper";2017-09-13 00:00:00,000;"809-903-2967";1965-12-05 00:00:00,000;"F";1965
424;3;"Priscilla Madden";2017-09-15 00:00:00,000;"649-526-6768";1966-01-21 00:00:00,000;"F";1966
425;3;"Savannah Bean";2017-09-17 00:00:00,000;"225-169-1316";1966-03-09 00:00:00,000;"F";1966
426;3;"Kelsie Rios";2017-09-19 00:00:00,000;"104-518-3834";1966-04-24 00:00:00,000;"F";1966
427;3;"Gay Coffey";2017-09-21 00:00:00,000;"660-805-8056";1966-06-10 00:00:00,000;"F";1966
428;3;"September Buckner";2017-09-23 00:00:00,000;"832-816-2799";1966-07-26 00:00:00,000;"F";1966
429;3;"Lee Barrett";2017-09-25 00:00:00,000;"415-261-1740";1966-09-11 00:00:00,000;"F";1966
430;3;"Jillian Franco";2017-09-27 00:00:00,000;"664-049-9622";1966-10-28 00:00:00,000;"F";1966
431;3;"Jessamine Waller";2017-09-29 00:00:00,000;"844-857-6091";1966-12-13 00:00:00,000;"F";1966
432;3;"Nelle Floyd";2017-10-01 00:00:00,000;"811-322-5713";1967-01-29 00:00:00,000;"F";1967
433;3;"Meghan Willis";2017-10-03 00:00:00,000;"727-578-9631";1967-03-16 00:00:00,000;"F";1967
434;3;"Carla Stevens";2017-10-06 00:00:00,000;"842-123-1097";1967-05-02 00:00:00,000;"F";1967
435;3;"Buffy Castaneda";2017-10-08 00:00:00,000;"337-999-5649";1967-06-18 00:00:00,000;"F";1967
436;3;"Marah Gomez";2017-10-10 00:00:00,000;"305-370-8416";1967-08-03 00:00:00,000;"F";1967
437;3;"Deborah Myers";2017-10-12 00:00:00,000;"727-062-2409";1967-09-19 00:00:00,000;"F";1967
438;3;"Gay Witt";2017-10-14 00:00:00,000;"854-711-7331";1967-11-04 00:00:00,000;"F";1967
439;3;"Lael Matthews";2017-10-16 00:00:00,000;"457-657-7509";1967-12-21 00:00:00,000;"F";1967
440;3;"Felicia Ramos";2017-10-18 00:00:00,000;"273-247-5795";1968-02-06 00:00:00,000;"F";1968
441;3;"Yoko Finch";2017-10-20 00:00:00,000;"553-599-0191";1968-03-23 00:00:00,000;"F";1968
442;3;"Susan Hart";2017-10-22 00:00:00,000;"870-197-5999";1968-05-09 00:00:00,000;"F";1968
443;3;"Georgia Kirby";2017-10-24 00:00:00,000;"619-421-5281";1968-06-24 00:00:00,000;"F";1968
444;3;"Scarlet Gill";2017-10-26 00:00:00,000;"264-141-9025";1968-08-10 00:00:00,000;"F";1968
445;3;"Maya Moreno";2017-10-28 00:00:00,000;"064-641-8434";1968-09-26 00:00:00,000;"F";1968
446;3;"Glenna Jennings";2017-10-30 00:00:00,000;"681-175-5936";1968-11-11 00:00:00,000;"F";1968
447;3;"Alexa Aguirre";2017-11-01 00:00:00,000;"511-115-1387";1968-12-28 00:00:00,000;"F";1968
448;3;"Sandra Ball";2017-11-03 00:00:00,000;"338-879-0611";1969-02-12 00:00:00,000;"F";1969
449;3;"Callie Holmes";2017-11-06 00:00:00,000;"691-223-3821";1969-03-31 00:00:00,000;"F";1969
450;3;"Lynn Vance";2017-11-08 00:00:00,000;"253-055-7804";1969-05-17 00:00:00,000;"F";1969
451;3;"Diana Baird";2017-11-10 00:00:00,000;"215-020-6026";1969-07-02 00:00:00,000;"F";1969
452;3;"Destiny Mcgee";2017-11-12 00:00:00,000;"535-822-3389";1969-08-18 00:00:00,000;"F";1969
453;3;"Shafira Koch";2017-11-14 00:00:00,000;"391-808-7810";1969-10-03 00:00:00,000;"F";1969
454;3;"Camille Mcgowan";2017-11-16 00:00:00,000;"367-601-5927";1969-11-19 00:00:00,000;"F";1969
455;3;"Oprah Sears";2017-11-18 00:00:00,000;"986-092-3846";1970-01-05 00:00:00,000;"F";1970
456;3;"Britanney Stuart";2017-11-20 00:00:00,000;"072-964-4264";1970-02-20 00:00:00,000;"F";1970
457;3;"Colleen Copeland";2017-11-22 00:00:00,000;"550-171-0393";1970-04-08 00:00:00,000;"F";1970
458;3;"Mikayla Lambert";2017-11-24 00:00:00,000;"501-173-8812";1970-05-24 00:00:00,000;"F";1970
459;3;"Macey Washington";2017-11-26 00:00:00,000;"475-604-1902";1970-07-10 00:00:00,000;"F";1970
460;3;"Carla Miller";2017-11-28 00:00:00,000;"276-491-8530";1970-08-26 00:00:00,000;"F";1970
461;3;"Giselle Ewing";2017-11-30 00:00:00,000;"674-590-8670";1970-10-11 00:00:00,000;"F";1970
462;3;"Hayfa Reid";2017-12-02 00:00:00,000;"317-663-8102";1970-11-27 00:00:00,000;"F";1970
463;3;"Candice Odonnell";2017-12-05 00:00:00,000;"362-945-7057";1971-01-12 00:00:00,000;"F";1971
464;3;"Molly Cook";2017-12-07 00:00:00,000;"227-333-8634";1971-02-28 00:00:00,000;"F";1971
465;3;"Demetria Bates";2017-12-09 00:00:00,000;"918-153-0065";1971-04-16 00:00:00,000;"F";1971
466;3;"Stephanie Flores";2017-12-11 00:00:00,000;"069-385-5506";1971-06-01 00:00:00,000;"F";1971
467;3;"Paloma Weeks";2017-12-13 00:00:00,000;"219-582-1897";1971-07-18 00:00:00,000;"F";1971
468;3;"Linda Perry";2017-12-15 00:00:00,000;"610-973-3590";1971-09-02 00:00:00,000;"F";1971
469;3;"Dacey Donaldson";2017-12-17 00:00:00,000;"438-172-0889";1971-10-19 00:00:00,000;"F";1971
470;3;"Ila Hunt";2017-12-19 00:00:00,000;"606-496-9779";1971-12-05 00:00:00,000;"F";1971
471;3;"Destiny Finch";2017-12-21 00:00:00,000;"540-434-5587";1972-01-20 00:00:00,000;"F";1972
472;3;"Keely Hamilton";2017-12-23 00:00:00,000;"403-319-5437";1972-03-07 00:00:00,000;"F";1972
473;3;"Ifeoma Tucker";2017-12-25 00:00:00,000;"480-462-0439";1972-04-22 00:00:00,000;"F";1972
474;3;"Iola Rodriquez";2017-12-27 00:00:00,000;"403-804-7692";1972-06-08 00:00:00,000;"F";1972
475;3;"Delilah Strickland";2017-12-29 00:00:00,000;"487-827-5770";1972-07-25 00:00:00,000;"F";1972
476;3;"Alexa Hancock";2017-12-31 00:00:00,000;"230-596-2784";1972-09-09 00:00:00,000;"F";1972
477;3;"Cecilia Mcfadden";2018-01-02 00:00:00,000;"604-632-2873";1972-10-26 00:00:00,000;"F";1972
478;3;"Ivana Holland";2018-01-05 00:00:00,000;"080-248-5135";1972-12-11 00:00:00,000;"F";1972
479;3;"Glenna Woodward";2018-01-07 00:00:00,000;"179-475-7139";1973-01-27 00:00:00,000;"F";1973
480;3;"Sigourney Mcdowell";2018-01-09 00:00:00,000;"141-827-3560";1973-03-15 00:00:00,000;"F";1973
481;3;"Kirsten Montgomery";2018-01-11 00:00:00,000;"370-478-7313";1973-04-30 00:00:00,000;"F";1973
482;3;"Elizabeth Randall";2018-01-13 00:00:00,000;"063-456-2354";1973-06-16 00:00:00,000;"F";1973
483;3;"Wynne Horton";2018-01-15 00:00:00,000;"188-868-8635";1973-08-01 00:00:00,000;"F";1973
484;3;"Zenaida Sargent";2018-01-17 00:00:00,000;"222-349-6271";1973-09-17 00:00:00,000;"F";1973
485;3;"Vielka Hanson";2018-01-19 00:00:00,000;"145-500-9248";1973-11-03 00:00:00,000;"F";1973
486;3;"Eleanor Stephens";2018-01-21 00:00:00,000;"028-324-8482";1973-12-19 00:00:00,000;"F";1973
487;3;"Amy Combs";2018-01-23 00:00:00,000;"559-264-8194";1974-02-04 00:00:00,000;"F";1974
488;3;"Sierra Rivas";2018-01-25 00:00:00,000;"341-149-9026";1974-03-22 00:00:00,000;"F";1974
489;3;"Joelle Workman";2018-01-27 00:00:00,000;"108-768-6055";1974-05-08 00:00:00,000;"F";1974
490;3;"Cassidy Stein";2018-01-29 00:00:00,000;"534-851-2473";1974-06-24 00:00:00,000;"F";1974
491;3;"Jessica Bates";2018-01-31 00:00:00,000;"047-743-7900";1974-08-09 00:00:00,000;"F";1974
492;3;"Joelle Cruz";2018-02-02 00:00:00,000;"230-639-5075";1974-09-25 00:00:00,000;"F";1974
493;3;"Kameko Vaughan";2018-02-05 00:00:00,000;"624-475-0002";1974-11-10 00:00:00,000;"F";1974
494;3;"Ivory Rojas";2018-02-07 00:00:00,000;"958-049-5035";1974-12-27 00:00:00,000;"F";1974
495;3;"Rhonda Sears";2018-02-09 00:00:00,000;"455-880-2967";1975-02-12 00:00:00,000;"F";1975
496;3;"Violet Singleton";2018-02-11 00:00:00,000;"763-115-2955";1975-03-30 00:00:00,000;"F";1975
497;3;"Haviva Hale";2018-02-13 00:00:00,000;"803-505-8503";1975-05-16 00:00:00,000;"F";1975
498;3;"Mariko Noble";2018-02-15 00:00:00,000;"909-089-1850";1975-07-01 00:00:00,000;"F";1975
499;3;"Mikayla Acevedo";2018-02-17 00:00:00,000;"056-353-0091";1975-08-17 00:00:00,000;"F";1975
500;3;"Idola Riggs";2018-02-19 00:00:00,000;"988-060-6654";1975-10-03 00:00:00,000;"F";1975
501;3;"Lacy Hardy";2018-02-21 00:00:00,000;"338-790-4083";1975-11-18 00:00:00,000;"F";1975
502;3;"Ella Michael";2018-02-23 00:00:00,000;"865-089-6530";1976-01-04 00:00:00,000;"F";1976
503;3;"Hayley Sellers";2018-02-25 00:00:00,000;"489-317-0295";1976-02-19 00:00:00,000;"F";1976
504;3;"Laurel Washington";2018-02-27 00:00:00,000;"690-713-8072";1976-04-06 00:00:00,000;"F";1976
505;3;"Miriam Cardenas";2018-03-01 00:00:00,000;"733-899-4309";1976-05-23 00:00:00,000;"F";1976
506;3;"Virginia Knox";2018-03-03 00:00:00,000;"990-847-6389";1976-07-08 00:00:00,000;"F";1976
507;3;"Haviva Cherry";2018-03-05 00:00:00,000;"377-133-9399";1976-08-24 00:00:00,000;"F";1976
508;3;"Mia Hinton";2018-03-08 00:00:00,000;"112-201-0089";1976-10-09 00:00:00,000;"F";1976
509;3;"Zelenia Sheppard";2018-03-10 00:00:00,000;"668-243-4212";1976-11-25 00:00:00,000;"F";1976
510;3;"Adria Shannon";2018-03-12 00:00:00,000;"414-485-8378";1977-01-11 00:00:00,000;"F";1977
511;3;"Erin Christian";2018-03-14 00:00:00,000;"711-861-0253";1977-02-26 00:00:00,000;"F";1977
512;3;"Miranda Haynes";2018-03-16 00:00:00,000;"369-858-8836";1977-04-14 00:00:00,000;"F";1977
513;3;"Molly Wall";2018-03-18 00:00:00,000;"576-517-9536";1977-05-30 00:00:00,000;"F";1977
514;3;"Savannah Bass";2018-03-20 00:00:00,000;"420-022-7159";1977-07-16 00:00:00,000;"F";1977
515;3;"Haley Spence";2018-03-22 00:00:00,000;"265-939-0297";1977-09-01 00:00:00,000;"F";1977
516;3;"Bertha Williamson";2018-03-24 00:00:00,000;"882-828-2223";1977-10-17 00:00:00,000;"F";1977
517;3;"Leah Malone";2018-03-26 00:00:00,000;"141-532-5963";1977-12-03 00:00:00,000;"F";1977
518;3;"Wanda Butler";2018-03-28 00:00:00,000;"253-163-2230";1978-01-18 00:00:00,000;"F";1978
519;3;"Alexis Valentine";2018-03-30 00:00:00,000;"523-165-2341";1978-03-06 00:00:00,000;"F";1978
520;3;"Reagan Mason";2018-04-01 00:00:00,000;"733-621-2211";1978-04-22 00:00:00,000;"F";1978
521;3;"Mara Davenport";2018-04-03 00:00:00,000;"607-028-4620";1978-06-07 00:00:00,000;"F";1978
522;3;"Chava Gordon";2018-04-05 00:00:00,000;"589-834-9283";1978-07-24 00:00:00,000;"F";1978
523;3;"Jenette Allen";2018-04-08 00:00:00,000;"945-706-3166";1978-09-08 00:00:00,000;"F";1978
524;3;"Zelenia Davenport";2018-04-10 00:00:00,000;"274-959-5334";1978-10-25 00:00:00,000;"F";1978
525;3;"Fredericka Garner";2018-04-12 00:00:00,000;"231-154-3072";1978-12-11 00:00:00,000;"F";1978
526;3;"Jessica May";2018-04-14 00:00:00,000;"799-086-7696";1979-01-26 00:00:00,000;"F";1979
527;3;"Lara Aguirre";2018-04-16 00:00:00,000;"035-572-4622";1979-03-14 00:00:00,000;"F";1979
528;3;"Sage Ferrell";2018-04-18 00:00:00,000;"447-124-2920";1979-04-29 00:00:00,000;"F";1979
529;3;"Pascale Velez";2018-04-20 00:00:00,000;"633-332-7412";1979-06-15 00:00:00,000;"F";1979
530;3;"Eliana Best";2018-04-22 00:00:00,000;"726-360-1010";1979-08-01 00:00:00,000;"F";1979
531;3;"Hadassah Reyes";2018-04-24 00:00:00,000;"715-528-8148";1979-09-16 00:00:00,000;"F";1979
532;3;"Maggie Emerson";2018-04-26 00:00:00,000;"601-073-7567";1979-11-02 00:00:00,000;"F";1979
533;3;"Desiree Larson";2018-04-28 00:00:00,000;"376-427-8790";1979-12-18 00:00:00,000;"F";1979
534;3;"Latifah Becker";2018-04-30 00:00:00,000;"649-895-8973";1980-02-03 00:00:00,000;"F";1980
535;3;"Alfreda Whitfield";2018-05-02 00:00:00,000;"280-517-4213";1980-03-21 00:00:00,000;"F";1980
536;3;"Linda Barlow";2018-05-04 00:00:00,000;"850-847-5175";1980-05-06 00:00:00,000;"F";1980
537;3;"Larissa Hansen";2018-05-06 00:00:00,000;"779-915-2360";1980-06-22 00:00:00,000;"F";1980
538;3;"Kellie Glover";2018-05-09 00:00:00,000;"942-466-6471";1980-08-07 00:00:00,000;"F";1980
539;3;"Kim Allison";2018-05-11 00:00:00,000;"223-433-9288";1980-09-23 00:00:00,000;"F";1980
540;3;"Cherokee Lambert";2018-05-13 00:00:00,000;"113-524-2265";1980-11-09 00:00:00,000;"F";1980
541;3;"Selma Carpenter";2018-05-15 00:00:00,000;"114-001-5060";1980-12-25 00:00:00,000;"F";1980
